date,dofw,name,type
2017-01-01,Friday,New Year's Day,Public Holiday
2017-03-21,Sunday,Human Rights Day,Public Holiday
2017-03-22,Monday,Day off for Human Rights Day,Public Holiday
2017-04-02,Friday,Good Friday,Public Holiday
2017-04-05,Monday,Family Day,Public Holiday
2017-04-27,Tuesday,Freedom Day,Public Holiday
2017-05-01,Saturday,Workers' Day,Public Holiday
2017-06-16,Wednesday,Youth Day,Public Holiday
2017-08-09,Monday,National Women's Day,Public Holiday
2017-09-24,Friday,Heritage Day,Public Holiday
2017-11-01,Monday,Local Government Elections,Public Holiday
2017-12-16,Thursday,Day of Reconciliation,Public Holiday
2017-12-25,Saturday,Christmas Day,Public Holiday
2017-12-26,Sunday,Day of Goodwill,Public Holiday
2017-12-27,Monday,Day of Goodwill observed,Public Holiday
2018-01-01,Monday,New Year's Day,Public Holiday
2018-03-21,Wednesday,Human Rights Day,Public Holiday
2018-03-30,Friday,Good Friday,Public Holiday
2018-04-02,Monday,Family Day,Public Holiday
2018-04-27,Friday,Freedom Day,Public Holiday
2018-05-01,Tuesday,Workers' Day,Public Holiday
2018-06-16,Saturday,Youth Day,Public Holiday
2018-08-09,Thursday,National Women's Day,Public Holiday
2018-09-24,Monday,Heritage Day,Public Holiday
2018-12-16,Sunday,Day of Reconciliation,Public Holiday
2018-12-17,Monday,Day off for Day of Reconciliation,Public Holiday
2018-12-25,Tuesday,Christmas Day,Public Holiday
2018-12-26,Wednesday,Day of Goodwill,Public Holiday
2019-01-01,Tuesday,New Year's Day,Public Holiday
2019-03-21,Thursday,Human Rights Day,Public Holiday
2019-04-19,Friday,Good Friday,Public Holiday
2019-04-22,Monday,Family Day,Public Holiday
2019-04-27,Saturday,Freedom Day,Public Holiday
2019-05-01,Wednesday,Workers' Day,Public Holiday
2019-05-08,Wednesday,Election Day,Public Holiday
2019-06-16,Sunday,Youth Day,Public Holiday
2019-06-17,Monday,Day off for Youth Day,Public Holiday
2019-08-09,Friday,National Women's Day,Public Holiday
2019-09-24,Tuesday,Heritage Day,Public Holiday
2019-12-16,Monday,Day of Reconciliation,Public Holiday
2019-12-25,Wednesday,Christmas Day,Public Holiday
2019-12-26,Thursday,Day of Goodwill,Public Holiday
2020-01-01,Wednesday,New Year's Day,Public Holiday
2020-03-21,Saturday,Human Rights Day,Public Holiday
2020-04-10,Friday,Good Friday,Public Holiday
2020-04-13,Monday,Family Day,Public Holiday
2020-04-27,Monday,Freedom Day,Public Holiday
2020-05-01,Friday,Workers' Day,Public Holiday
2020-06-16,Tuesday,Youth Day,Public Holiday
2020-08-09,Sunday,National Women's Day,Public Holiday
2020-08-10,Monday,Day off for National Women's Day,Public Holiday
2020-09-24,Thursday,Heritage Day,Public Holiday
2020-12-16,Wednesday,Day of Reconciliation,Public Holiday
2020-12-25,Friday,Christmas Day,Public Holiday
2020-12-26,Saturday,Day of Goodwill,Public Holiday
