date,dofw,name,type
2017-01-01,Sunday,New Year's Day,National holiday
2017-04-17,Monday,Easter Monday,National holiday
2017-05-01,Monday,Labor Day / May Day,National holiday
2017-05-08,Monday,WWII Victory Day,National holiday
2017-05-25,Thursday,Ascension Day,National holiday
2017-06-05,Monday,Whit Monday,National holiday
2017-07-14,Friday,Bastille Day,National holiday
2017-08-15,Tuesday,Assumption of Mary,National holiday
2017-11-01,Wednesday,All Saints' Day,National holiday
2017-11-11,Saturday,Armistice Day,National holiday
2017-12-25,Monday,Christmas Day,National holiday
2018-01-01,Monday,New Year's Day,National holiday
2018-04-02,Monday,Easter Monday,National holiday
2018-05-01,Tuesday,Labor Day / May Day,National holiday
2018-05-08,Tuesday,WWII Victory Day,National holiday
2018-05-10,Thursday,Ascension Day,National holiday
2018-05-21,Monday,Whit Monday,National holiday
2018-07-14,Saturday,Bastille Day,National holiday
2018-08-15,Wednesday,Assumption of Mary,National holiday
2018-11-01,Thursday,All Saints' Day,National holiday
2018-11-11,Sunday,Armistice Day,National holiday
2018-12-25,Tuesday,Christmas Day,National holiday
2019-01-01,Tuesday,New Year's Day,National holiday
2019-04-22,Monday,Easter Monday,National holiday
2019-05-01,Wednesday,Labor Day / May Day,National holiday
2019-05-08,Wednesday,WWII Victory Day,National holiday
2019-05-30,Thursday,Ascension Day,National holiday
2019-06-10,Monday,Whit Monday,National holiday
2019-07-14,Sunday,Bastille Day,National holiday
2019-08-15,Thursday,Assumption of Mary,National holiday
2019-11-01,Friday,All Saints' Day,National holiday
2019-11-11,Monday,Armistice Day,National holiday
2019-12-25,Wednesday,Christmas Day,National holiday
2020-01-01,Wednesday,New Year's Day,National holiday
2020-04-13,Monday,Easter Monday,National holiday
2020-05-01,Friday,Labor Day / May Day,National holiday
2020-05-08,Friday,WWII Victory Day,National holiday
2020-05-21,Thursday,Ascension Day,National holiday
2020-06-01,Monday,Whit Monday,National holiday
2020-07-14,Tuesday,Bastille Day,National holiday
2020-08-15,Saturday,Assumption of Mary,National holiday
2020-11-01,Sunday,All Saints' Day,National holiday
2020-11-11,Wednesday,Armistice Day,National holiday
2020-12-25,Friday,Christmas Day,National holiday
